iter	RMSE
0	0.932772702
1	0.9324425146
2	0.9308749163
3	0.9303777284
4	0.9291118987
5	0.9279261362
6	0.9268028028
7	0.9257702413
8	0.9236664236
9	0.9225157406
10	0.9216879217
11	0.9204976325
12	0.9192717136
13	0.9185246662
14	0.9180594466
15	0.9176313929
16	0.9162554312
17	0.9155188396
18	0.9148378406
19	0.9144593128
20	0.9140618497
21	0.9129907175
22	0.9119896757
23	0.9109226636
24	0.9101187262
25	0.9096203903
26	0.9088217184
27	0.9079526974
28	0.9075961713
29	0.9066232158
30	0.9062239549
31	0.9053723721
32	0.9044163054
33	0.9039507748
34	0.9032449558
35	0.9029036695
36	0.9021922884
37	0.9016027822
38	0.9012958042
39	0.9005337995
40	0.899906204
41	0.8994692942
42	0.8988289989
43	0.898343124
44	0.8977466423
45	0.896926314
46	0.8961917757
47	0.8958660154
48	0.8952148485
49	0.8947266877
50	0.8942733313
51	0.8932993031
52	0.8930277251
53	0.8926218747
54	0.8923556842
55	0.8920965677
56	0.8913279504
57	0.8910999246
58	0.8905446006
59	0.8901120044
60	0.8899373078
61	0.8898086611
62	0.8896406692
63	0.8894250506
64	0.889013994
65	0.8886572234
66	0.8884350564
67	0.8881092036
68	0.8876856992
69	0.8872307381
70	0.8868125694
71	0.8858466358
72	0.8854194468
73	0.8853003646
74	0.885186443
75	0.8847399349
76	0.8846384957
77	0.8838368612
78	0.8830297633
79	0.8826451046
80	0.8824176168
81	0.881696029
82	0.8814167185
83	0.8812509977
84	0.8811329488
85	0.880550145
86	0.8801944112
87	0.8793628713
88	0.879126425
89	0.879001442
90	0.8784409857
91	0.8779916683
92	0.8777979915
93	0.8772418054
94	0.8768114869
95	0.8765928139
96	0.8764343797
97	0.8763547539
98	0.8757029526
99	0.8754317021
100	0.8749890699
101	0.874914677
102	0.8748415147
103	0.874631774
104	0.8738814525
105	0.8737222434
106	0.8733052853
107	0.8731258029
108	0.8728789627
109	0.8727446827
110	0.8725030527
111	0.8723541275
112	0.8722474417
113	0.8719295733
114	0.8718349109
115	0.871716347
116	0.8714020088
117	0.8712388077
118	0.8710354683
119	0.8708794046
120	0.8704162119
121	0.870282501
122	0.8700865004
123	0.8699039403
124	0.869706238
125	0.8692644486
126	0.869084123
127	0.8686317422
128	0.8685389215
129	0.8682705845
130	0.8682235891
131	0.8681178139
132	0.8680091101
133	0.867493813
134	0.8673426219
135	0.8668956379
136	0.866706303
137	0.8666163282
138	0.8662364192
139	0.8660683511
140	0.865922033
141	0.8657181464
142	0.865643751
143	0.8655966047
144	0.8655093771
145	0.8649904849
146	0.8641402622
147	0.8634550103
148	0.8633904505
149	0.8633224048
150	0.8631877691
151	0.8631125889
152	0.8626628875
153	0.8623581744
154	0.8623023196
155	0.8622396653
156	0.8621503865
157	0.8621053303
158	0.8619736114
159	0.8614754407
160	0.8613937309
161	0.8610199042
162	0.8609544416
163	0.8608597082
164	0.8604391559
165	0.8601573559
166	0.8598472106
167	0.8596013334
168	0.8593811285
169	0.8593271222
170	0.8590086268
171	0.85888231
172	0.8586337091
173	0.8585880747
174	0.8585280488
175	0.8585070236
176	0.8584577087
177	0.8583422982
178	0.8582583197
179	0.8578660801
180	0.8577168608
181	0.8576117683
182	0.8575084885
183	0.8568503068
184	0.8567362051
185	0.8563770707
186	0.8560420931
187	0.8559873427
188	0.8559265931
189	0.8558870244
190	0.8558393403
191	0.8557660509
192	0.8554562251
193	0.8553653026
194	0.8553290928
195	0.8551019143
196	0.8545086045
197	0.8541426595
198	0.8537569606
199	0.8536585061
200	0.8536265539
201	0.8531860389
202	0.8531720248
203	0.8531277103
204	0.8530816984
205	0.8524523329
206	0.8523575273
207	0.8520548803
208	0.8516978768
209	0.8513486485
210	0.850940818
211	0.8509101691
212	0.8505857361
213	0.8503859724
214	0.8503593462
215	0.8503330837
216	0.850022654
217	0.8499407715
218	0.8498314516
219	0.8497524539
220	0.8492031072
221	0.849127421
222	0.8489624309
223	0.8489060865
224	0.8488528794
225	0.8485457977
226	0.8482603702
227	0.8477494404
228	0.8477250186
229	0.8476715317
230	0.847245372
231	0.8469117131
232	0.846717728
233	0.8462618838
234	0.8459618907
235	0.8458846264
236	0.8458122824
237	0.8457425823
238	0.8455170152
239	0.8451905812
240	0.845160227
241	0.8449729412
242	0.8449106032
243	0.8448590838
244	0.844792473
245	0.8447029304
246	0.8443832335
247	0.8441411482
248	0.8437771567
249	0.8435462194
250	0.8435245665
251	0.8432356893
252	0.8431326194
253	0.843063905
254	0.8428133719
255	0.8426140072
256	0.8425379373
257	0.8424440088
258	0.8423604134
259	0.8422607433
260	0.8421573367
261	0.8421200218
262	0.8420514312
263	0.8418140528
264	0.8417447961
265	0.8415116787
266	0.8412753353
267	0.8409689027
268	0.8408845406
269	0.8408078411
270	0.8407379558
271	0.84044385
272	0.8402135095
273	0.8401456311
274	0.8398526874
275	0.8397980302
276	0.8397289429
277	0.8396732097
278	0.8396120384
279	0.8395544824
280	0.8394722704
281	0.839337717
282	0.8391128926
283	0.8390565493
284	0.8388733842
285	0.8386444045
286	0.838451946
287	0.8383023895
288	0.8380759072
289	0.8378213669
290	0.8377522679
291	0.8377057108
292	0.8376491912
293	0.8374831674
294	0.8372558628
295	0.8372069965
296	0.8371646882
297	0.8370402136
298	0.8368400624
299	0.836635988
300	0.8364730549
301	0.8364165077
302	0.8363660694
303	0.8362094346
304	0.8361824782
305	0.8361344282
306	0.8360810272
307	0.8359200329
308	0.8357896396
309	0.835639539
310	0.835538077
311	0.8354947611
312	0.8353732767
313	0.835331131
314	0.8352876279
315	0.8352474151
316	0.8350614327
317	0.8349628847
318	0.834869181
319	0.8348339183
320	0.8346795748
321	0.8345684481
322	0.8345353824
323	0.8344283275
324	0.8343943775
325	0.8343507204
326	0.8342340599
327	0.8341944499
328	0.8341625861
329	0.8341238663
330	0.8340429284
331	0.8340018831
332	0.8338524937
333	0.8337253275
334	0.8335839149
335	0.8334974714
336	0.8334512674
337	0.8333348478
338	0.8333011177
339	0.8331499497
340	0.8331178197
341	0.8329915961
342	0.83288047
343	0.8327953064
344	0.8327656429
345	0.8327483443
346	0.8327193051
347	0.8326474526
348	0.832618282
349	0.8325977793
350	0.8325717916
351	0.8324518246
352	0.8324246868
353	0.8323340694
354	0.8323096101
355	0.8322774777
356	0.8322655965
357	0.8322007852
358	0.8321369724
359	0.8321181655
360	0.8321041351
361	0.8320928793
362	0.8320886331
363	0.8320853001
364	0.8320732312
365	0.8320416273
366	0.8320319015
367	0.8319681436
368	0.8318718452
369	0.8318611225
370	0.8317664708
371	0.8317209726
372	0.8316348441
373	0.8315720926
374	0.8315175149
375	0.8315140094
376	0.8315032572
377	0.8314813077
378	0.8314473064
379	0.8313907671
380	0.8313461765
381	0.8313349526
382	0.8312501961
383	0.831229089
384	0.8311808542
385	0.831164812
386	0.8311276679
387	0.8310656143
388	0.8310469362
389	0.8310148516
390	0.8309256079
391	0.8309012599
392	0.8308605619
393	0.8308577797
394	0.8308421483
395	0.8307712445
396	0.8307588133
397	0.8306945888
398	0.8306771943
399	0.8306536714
400	0.8306049035
401	0.830586264
402	0.8305568503
403	0.8305354607
404	0.8305160085
405	0.8305024375
406	0.830481122
407	0.8304095889
408	0.830386859
409	0.8303693029
410	0.8303063191
411	0.8302669288
412	0.8302621307
413	0.8302427554
414	0.8302309676
415	0.8301926571
416	0.830176054
417	0.8301137406
418	0.8300813866
419	0.8300213049
420	0.8299727137
421	0.8299479183
422	0.8299193758
423	0.8299169641
424	0.829877054
425	0.8298425182
426	0.8298077383
427	0.8297605892
428	0.8297344546
429	0.8297229123
430	0.8297043834
431	0.8296896438
432	0.8296879529
433	0.8296734675
434	0.8296657541
435	0.8296455476
436	0.829608231
437	0.8295926509
438	0.8295787258
439	0.8295627404
440	0.829534093
441	0.8295287794
442	0.8294860312
443	0.8294353363
444	0.8294121599
445	0.8294019319
446	0.8293668592
447	0.8293562914
448	0.8293480377
449	0.8293371084
450	0.8293292147
451	0.8293021908
452	0.8292822274
453	0.8292524067
454	0.8292241319
455	0.8292094855
456	0.8291910262
457	0.8291789584
458	0.8291677827
459	0.8291433955
460	0.8291370218
461	0.8291173867
462	0.8291074659
463	0.8290626705
464	0.8290529749
465	0.8290063614
466	0.8289971197
467	0.8289757536
468	0.8289476088
469	0.8289310294
470	0.8289107868
471	0.8288598571
472	0.8288506516
473	0.8288306117
474	0.8288041142
475	0.8288008769
476	0.8287704697
477	0.8287518498
478	0.8287331284
479	0.8287074375
480	0.8286927422
481	0.8286818772
482	0.8286673174
483	0.8286574581
484	0.8286482683
485	0.8286410115
486	0.8286052114
487	0.8285840898
488	0.8285711608
489	0.828564415
490	0.8285570404
491	0.8285486366
492	0.8285294216
493	0.8285238821
494	0.8285044534
495	0.8284948472
496	0.8284839938
497	0.8284793182
498	0.8284761836
499	0.8284740514
500	0.8284555359
501	0.8284498251
502	0.8284291814
503	0.8284140925
504	0.8284058506
505	0.8283843701
506	0.8283490055
507	0.8283326119
508	0.828327376
509	0.8282853026
510	0.8282696637
511	0.8282644995
512	0.8282333171
513	0.8282182661
514	0.8282070303
515	0.8282017957
516	0.8281884769
517	0.8281836747
518	0.8281720579
519	0.8281322477
520	0.8281181143
521	0.8281100918
522	0.8280949698
523	0.8280810262
524	0.8280677628
525	0.8280568225
526	0.8280354815
527	0.8280261391
528	0.8280058093
529	0.8280004511
530	0.8279924135
531	0.8279750292
532	0.8279672522
533	0.827951206
534	0.8279328552
535	0.8279255291
536	0.8279156389
537	0.8279092619
538	0.827908803
539	0.8279039008
540	0.8278995109
541	0.8278949293
542	0.8278874169
543	0.827881538
544	0.8278761125
545	0.8278705126
546	0.8278663872
547	0.8278628137
548	0.8278555754
549	0.8278447513
550	0.8278289278
551	0.8277970586
552	0.8277921297
553	0.8277872024
554	0.8277785177
555	0.8277728782
556	0.8277610769
557	0.8277574027
558	0.8277462079
559	0.8277372457
560	0.8277322232
561	0.8277203387
562	0.8277100967
563	0.8277054556
564	0.8276936577
565	0.8276808708
566	0.8276702603
567	0.8276590325
568	0.8276484621
569	0.8276451666
570	0.8276408951
571	0.827611801
572	0.8276076955
573	0.827600527
574	0.8275922706
575	0.827588057
576	0.8275821634
577	0.8275743542
578	0.8275703726
579	0.8275639724
580	0.8275609775
581	0.8275563364
582	0.8275458851
583	0.8275370949
584	0.8275275659
585	0.8275239331
586	0.8274968305
587	0.8274931244
588	0.8274889352
589	0.8274861859
590	0.8274835494
591	0.8274787675
592	0.8274667083
593	0.8274515265
594	0.8274467337
595	0.8274406697
596	0.8274344148
597	0.8274292429
598	0.8274252159
599	0.8274150297
600	0.8273982425
601	0.827394941
602	0.8273933114
603	0.8273907935
604	0.8273855886
605	0.8273823892
606	0.8273662465
607	0.8273628372
608	0.8273594658
609	0.8273561959
610	0.8273531784
611	0.8273509771
612	0.8273479808
613	0.8273450847
614	0.8273394452
615	0.8273349448
616	0.8273288441
617	0.8273248334
618	0.8273220767
619	0.8273192991
620	0.8273151988
621	0.8273110722
622	0.8272881954
623	0.8272855175
624	0.8272727324
625	0.8272631115
626	0.8272574833
627	0.8272358214
628	0.8272200778
629	0.8272148117
630	0.8272048276
631	0.8272031217
632	0.8271995625
633	0.8271931862
634	0.8271847556
635	0.8271789419
636	0.827176743
637	0.8271734903
638	0.8271719209
639	0.8271673144
640	0.8271597955
641	0.8271583108
642	0.8271534365
643	0.8271464317
644	0.8271422864
645	0.8271359437
646	0.8271345341
647	0.8271325456
648	0.827129848
649	0.8271278923
650	0.8271253758
651	0.8271205882
652	0.8271136778
653	0.8271117737
